,aerialsTotal,aerialsWon,clearances,cornersAccurate,cornersTotal,defensiveAerials,dispossessed,dribbledPast,dribblesAttempted,dribblesLost,dribblesWon,errorsCount,foulsCommited,goals,goalsConceded,home,interceptions,name,offensiveAerials,offsidesCaught,passesAccurate,passesKey,passesTotal,possession,result,shotsBlocked,shotsOffTarget,shotsOnPost,shotsOnTarget,shotsTotal,tackleSuccessful,tackleUnsuccesful,tacklesTotal,throwInsAccurate,throwInsTotal,touches
397,30.0,21.0,15.0,10.0,15.0,20.0,10.0,4.0,18.0,6.0,12.0,0.0,10.0,1,0,1.0,15.0,Chelsea,10.0,0.0,518.0,16.0,608.0,654.0,w,4.0,7.0,0.0,10.0,21.0,22.0,4.0,26.0,21.0,25.0,828.0
398,60.0,26.0,44.0,3.0,3.0,43.0,18.0,4.0,11.0,3.0,8.0,1.0,14.0,0,2,0.0,2.0,Huddersfield,17.0,1.0,330.0,9.0,426.0,450.0,l,7.0,1.0,0.0,2.0,10.0,19.0,4.0,23.0,17.0,20.0,636.0
399,60.0,34.0,23.0,2.0,10.0,17.0,14.0,8.0,9.0,5.0,4.0,0.0,11.0,2,0,1.0,10.0,West Ham,43.0,0.0,216.0,12.0,311.0,346.0,w,6.0,10.0,1.0,3.0,19.0,21.0,8.0,29.0,24.0,27.0,537.0
400,25.0,8.0,18.0,0.0,5.0,10.0,16.0,12.0,11.0,1.0,10.0,0.0,9.0,0,4,0.0,14.0,Crystal Palace,15.0,1.0,295.0,6.0,377.0,403.0,l,1.0,4.0,0.0,1.0,6.0,20.0,12.0,32.0,15.0,17.0,582.0
401,25.0,17.0,18.0,3.0,6.0,15.0,10.0,10.0,22.0,10.0,12.0,0.0,6.0,4,0,1.0,11.0,Man Utd,10.0,2.0,474.0,16.0,566.0,588.0,w,5.0,6.0,0.0,7.0,18.0,17.0,10.0,27.0,20.0,21.0,751.0
402,51.0,27.0,38.0,0.0,5.0,12.0,8.0,14.0,14.0,4.0,10.0,0.0,10.0,0,0,0.0,13.0,Leicester,39.0,3.0,221.0,3.0,347.0,366.0,d,3.0,4.0,0.0,1.0,8.0,19.0,14.0,33.0,13.0,18.0,540.0
403,51.0,24.0,31.0,0.0,7.0,39.0,10.0,10.0,23.0,9.0,14.0,0.0,6.0,0,0,1.0,4.0,Bournemouth,12.0,1.0,436.0,15.0,540.0,571.0,d,5.0,10.0,1.0,4.0,19.0,12.0,10.0,22.0,19.0,23.0,753.0
404,50.0,21.0,19.0,3.0,6.0,24.0,11.0,4.0,18.0,3.0,15.0,1.0,10.0,1,2,0.0,14.0,Southampton,26.0,3.0,533.0,19.0,620.0,652.0,l,6.0,12.0,0.0,3.0,21.0,14.0,4.0,18.0,19.0,20.0,838.0
405,50.0,29.0,42.0,2.0,5.0,26.0,10.0,15.0,8.0,4.0,4.0,1.0,11.0,2,1,1.0,12.0,Stoke,24.0,1.0,171.0,9.0,262.0,273.0,w,10.0,1.0,0.0,6.0,17.0,14.0,15.0,29.0,14.0,21.0,460.0
406,25.0,18.0,20.0,6.0,8.0,15.0,12.0,10.0,15.0,7.0,8.0,0.0,13.0,1,0,0.0,11.0,Man City,10.0,0.0,578.0,14.0,653.0,677.0,w,5.0,6.0,0.0,6.0,17.0,19.0,10.0,29.0,16.0,19.0,836.0
407,25.0,7.0,20.0,3.0,4.0,10.0,13.0,8.0,16.0,6.0,10.0,0.0,8.0,0,1,1.0,9.0,Chelsea,15.0,8.0,311.0,4.0,395.0,417.0,l,0.0,2.0,0.0,2.0,4.0,19.0,8.0,27.0,23.0,25.0,589.0
408,25.0,14.0,31.0,5.0,7.0,19.0,16.0,5.0,21.0,9.0,12.0,0.0,4.0,4,0,0.0,7.0,Tottenham,6.0,2.0,452.0,9.0,558.0,579.0,w,2.0,5.0,1.0,7.0,14.0,16.0,5.0,21.0,26.0,30.0,770.0
409,25.0,11.0,25.0,1.0,4.0,6.0,7.0,12.0,14.0,9.0,5.0,2.0,7.0,0,4,1.0,21.0,Huddersfield,19.0,4.0,269.0,3.0,368.0,394.0,l,3.0,2.0,1.0,1.0,6.0,25.0,12.0,37.0,27.0,31.0,580.0
410,58.0,27.0,22.0,1.0,6.0,21.0,16.0,10.0,18.0,9.0,9.0,0.0,11.0,2,2,0.0,5.0,Watford,37.0,1.0,464.0,12.0,552.0,586.0,d,6.0,6.0,0.0,3.0,15.0,21.0,10.0,31.0,15.0,22.0,757.0
411,58.0,31.0,45.0,2.0,7.0,37.0,13.0,9.0,18.0,8.0,10.0,0.0,12.0,2,2,1.0,10.0,West Brom,21.0,1.0,205.0,5.0,295.0,314.0,d,2.0,3.0,0.0,4.0,9.0,25.0,9.0,34.0,8.0,11.0,501.0
412,43.0,19.0,18.0,1.0,1.0,20.0,11.0,6.0,17.0,11.0,6.0,0.0,13.0,0,1,0.0,12.0,Swansea,23.0,0.0,412.0,4.0,501.0,529.0,l,2.0,3.0,0.0,1.0,6.0,14.0,6.0,20.0,17.0,29.0,691.0
413,43.0,24.0,25.0,1.0,2.0,23.0,8.0,6.0,12.0,6.0,6.0,0.0,15.0,1,0,1.0,17.0,West Ham,20.0,1.0,287.0,9.0,375.0,403.0,w,2.0,3.0,1.0,4.0,9.0,22.0,6.0,28.0,24.0,29.0,585.0
414,30.0,14.0,41.0,4.0,9.0,10.0,15.0,7.0,13.0,5.0,8.0,1.0,7.0,0,1,0.0,16.0,Crystal Palace,20.0,4.0,185.0,9.0,268.0,284.0,l,3.0,5.0,0.0,3.0,11.0,19.0,7.0,26.0,10.0,22.0,474.0
415,30.0,16.0,30.0,5.0,10.0,20.0,13.0,8.0,13.0,6.0,7.0,1.0,6.0,1,0,1.0,13.0,Tottenham,10.0,3.0,491.0,10.0,583.0,616.0,w,4.0,6.0,0.0,2.0,12.0,20.0,8.0,28.0,25.0,27.0,797.0
416,10.0,5.0,13.0,0.0,5.0,3.0,15.0,16.0,8.0,3.0,5.0,0.0,15.0,1,3,0.0,15.0,Arsenal,7.0,3.0,369.0,4.0,450.0,462.0,l,0.0,3.0,0.0,3.0,6.0,16.0,16.0,32.0,25.0,27.0,618.0
417,10.0,5.0,22.0,4.0,5.0,7.0,13.0,5.0,19.0,3.0,16.0,0.0,15.0,3,1,1.0,14.0,Man City,3.0,3.0,544.0,6.0,624.0,643.0,w,2.0,2.0,0.0,5.0,9.0,18.0,5.0,23.0,13.0,16.0,807.0
418,36.0,19.0,22.0,2.0,7.0,15.0,9.0,10.0,9.0,5.0,4.0,1.0,20.0,0,1,0.0,14.0,Man Utd,21.0,0.0,301.0,4.0,396.0,420.0,l,5.0,3.0,0.0,2.0,10.0,13.0,10.0,23.0,25.0,29.0,598.0
419,36.0,17.0,16.0,2.0,4.0,21.0,6.0,4.0,17.0,7.0,10.0,0.0,16.0,1,0,1.0,17.0,Chelsea,15.0,0.0,370.0,12.0,471.0,493.0,w,4.0,6.0,0.0,8.0,18.0,14.0,4.0,18.0,20.0,27.0,666.0
420,59.0,34.0,23.0,4.0,5.0,34.0,12.0,5.0,21.0,8.0,13.0,0.0,12.0,2,3,0.0,6.0,Watford,25.0,1.0,356.0,9.0,472.0,502.0,l,2.0,6.0,0.0,3.0,11.0,14.0,5.0,19.0,32.0,36.0,688.0
421,59.0,25.0,37.0,2.0,2.0,25.0,7.0,13.0,12.0,7.0,5.0,0.0,14.0,3,2,1.0,20.0,Everton,34.0,5.0,196.0,7.0,294.0,306.0,w,2.0,2.0,0.0,5.0,9.0,20.0,13.0,33.0,15.0,21.0,509.0
422,42.0,18.0,17.0,1.0,10.0,16.0,11.0,8.0,26.0,8.0,18.0,0.0,15.0,0,1,0.0,11.0,Man Utd,26.0,2.0,505.0,7.0,630.0,661.0,l,4.0,3.0,0.0,6.0,13.0,12.0,8.0,20.0,32.0,33.0,843.0
423,42.0,24.0,47.0,0.0,0.0,26.0,8.0,18.0,12.0,4.0,8.0,0.0,12.0,1,0,1.0,14.0,Newcastle,16.0,2.0,251.0,7.0,361.0,371.0,w,2.0,5.0,0.0,3.0,10.0,19.0,18.0,37.0,14.0,18.0,581.0
424,41.0,20.0,22.0,0.0,1.0,25.0,12.0,13.0,15.0,4.0,11.0,0.0,8.0,2,0,0.0,13.0,Liverpool,16.0,0.0,401.0,12.0,510.0,523.0,w,4.0,8.0,0.0,4.0,16.0,16.0,13.0,29.0,22.0,28.0,703.0
425,41.0,21.0,11.0,0.0,3.0,16.0,13.0,11.0,16.0,3.0,13.0,2.0,5.0,0,2,1.0,15.0,Southampton,25.0,5.0,423.0,6.0,543.0,568.0,l,0.0,2.0,0.0,4.0,6.0,16.0,11.0,27.0,24.0,26.0,732.0
426,36.0,14.0,27.0,1.0,6.0,19.0,12.0,9.0,19.0,9.0,10.0,2.0,12.0,1,4,0.0,16.0,Bournemouth,17.0,5.0,286.0,4.0,411.0,434.0,l,3.0,2.0,1.0,2.0,7.0,18.0,9.0,27.0,26.0,34.0,635.0
427,36.0,22.0,21.0,0.0,2.0,17.0,11.0,10.0,16.0,7.0,9.0,0.0,12.0,4,1,1.0,23.0,Huddersfield,19.0,3.0,318.0,10.0,436.0,454.0,w,6.0,5.0,0.0,4.0,15.0,21.0,10.0,31.0,19.0,27.0,657.0
428,42.0,27.0,36.0,5.0,7.0,19.0,5.0,10.0,10.0,4.0,6.0,1.0,9.0,1,1,0.0,15.0,Burnley,23.0,6.0,193.0,11.0,272.0,303.0,d,2.0,8.0,0.0,3.0,13.0,16.0,10.0,26.0,11.0,13.0,474.0
429,42.0,15.0,19.0,5.0,10.0,23.0,8.0,6.0,18.0,8.0,10.0,1.0,9.0,1,1,1.0,6.0,Tottenham,19.0,1.0,503.0,19.0,588.0,623.0,d,17.0,6.0,0.0,5.0,28.0,9.0,6.0,15.0,14.0,14.0,765.0
430,26.0,10.0,28.0,0.0,3.0,7.0,11.0,11.0,10.0,3.0,7.0,1.0,7.0,0,2,0.0,16.0,Everton,19.0,0.0,355.0,6.0,437.0,462.0,l,2.0,5.0,0.0,0.0,7.0,17.0,11.0,28.0,16.0,20.0,625.0
431,26.0,16.0,23.0,3.0,6.0,19.0,13.0,7.0,15.0,4.0,11.0,0.0,12.0,2,0,1.0,7.0,Chelsea,7.0,0.0,500.0,13.0,583.0,606.0,w,7.0,4.0,0.0,7.0,18.0,14.0,7.0,21.0,19.0,26.0,761.0
432,42.0,29.0,40.0,3.0,4.0,26.0,8.0,4.0,19.0,9.0,10.0,0.0,9.0,1,1,0.0,7.0,Stoke,16.0,0.0,380.0,14.0,438.0,466.0,d,5.0,9.0,0.0,2.0,16.0,20.0,4.0,24.0,13.0,19.0,649.0
433,42.0,13.0,24.0,2.0,10.0,16.0,16.0,10.0,8.0,4.0,4.0,1.0,10.0,1,1,1.0,3.0,West Brom,26.0,2.0,239.0,7.0,314.0,349.0,d,0.0,8.0,1.0,2.0,10.0,17.0,10.0,27.0,18.0,21.0,495.0
434,25.0,14.0,21.0,1.0,3.0,13.0,12.0,15.0,16.0,7.0,9.0,3.0,9.0,0,4,0.0,15.0,Arsenal,12.0,5.0,438.0,6.0,539.0,555.0,l,2.0,6.0,0.0,0.0,8.0,13.0,15.0,28.0,18.0,18.0,715.0
435,25.0,11.0,19.0,3.0,4.0,12.0,12.0,9.0,16.0,1.0,15.0,0.0,6.0,4,0,1.0,12.0,Liverpool,13.0,3.0,411.0,13.0,507.0,524.0,w,3.0,5.0,0.0,10.0,18.0,19.0,9.0,28.0,14.0,17.0,686.0
436,35.0,15.0,27.0,4.0,9.0,14.0,11.0,9.0,19.0,8.0,11.0,2.0,16.0,0,3,0.0,9.0,Southampton,21.0,0.0,292.0,9.0,402.0,423.0,l,4.0,5.0,0.0,0.0,9.0,17.0,9.0,26.0,19.0,22.0,599.0
437,35.0,20.0,24.0,3.0,5.0,21.0,10.0,11.0,16.0,7.0,9.0,1.0,9.0,3,0,1.0,16.0,West Ham,14.0,1.0,259.0,10.0,377.0,396.0,w,3.0,5.0,1.0,5.0,13.0,19.0,11.0,30.0,26.0,38.0,575.0
