match_id,team_id,player_id,player_name,minute,x,y,goalMouthY,goalMouthZ,shot_type,is_big_chance,is_from_corner,is_open_play,is_counter,is_set_piece,is_freekick,is_penalty,is_on_target,is_blocked,is_goal
2017-12-16/Stoke-West Ham,96,26013,Mame Biram Diouf,46,92.6,59.6,40.0,54.2,2,0,1,0,0,1,0,0,0,0,0
2017-12-16/Stoke-West Ham,96,76304,Xherdan Shaqiri,50,85.6,44.5,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Stoke-West Ham,96,23444,Joe Allen,51,79.5,35.5,,,1,0,1,0,0,1,0,0,0,1,0
2017-12-16/Stoke-West Ham,96,260289,Ramadan Sobhi,53,79.9,67.6,34.1,11.1,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,96,76304,Xherdan Shaqiri,54,74.6,39.8,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Stoke-West Ham,29,34693,Marko Arnautovic,58,91.3,62.7,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Stoke-West Ham,96,29798,Ryan Shawcross,61,90.3,48.2,,,2,0,1,0,0,1,0,0,0,1,0
2017-12-16/Stoke-West Ham,96,76304,Xherdan Shaqiri,63,91.8,29.1,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Stoke-West Ham,29,34693,Marko Arnautovic,66,87.5,35.9,53.5,41.1,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,34693,Marko Arnautovic,69,92.3,33.0,42.9,5.6,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,96,8327,Charlie Adam,71,85.0,64.9,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Stoke-West Ham,96,29798,Ryan Shawcross,71,94.7,50.3,48.7,51.4,2,1,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,83297,Diafra Sakho,72,86.6,43.5,61.0,11.1,1,1,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,34693,Marko Arnautovic,74,91.5,35.1,46.9,0.6,1,1,0,1,0,0,0,0,1,0,1
2017-12-16/Stoke-West Ham,96,94024,Saido Berahino,80,76.1,63.7,35.6,81.9,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,83297,Diafra Sakho,82,96.5,42.2,61.5,6.9,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,83297,Diafra Sakho,85,87.1,52.7,47.1,1.9,1,1,0,1,0,0,0,0,1,0,1
2017-12-16/Stoke-West Ham,29,35003,Chicharito,89,94.7,64.7,51.9,19.6,1,1,0,0,1,0,0,0,1,0,0
2017-12-16/Brighton-Burnley,211,86441,Lewis Dunk,12,89.7,56.3,,,1,0,1,0,0,1,0,0,0,1,0
2017-12-16/Brighton-Burnley,211,21427,Glenn Murray,13,91.4,51.2,49.4,19.0,2,0,0,1,0,0,0,0,1,0,0
2017-12-16/Brighton-Burnley,184,41868,Johann Berg Gudmundsson,20,85.2,60.0,48.0,3.2,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Brighton-Burnley,211,86794,Anthony Knockaert,20,89.7,44.9,44.9,10.8,1,1,0,1,0,0,0,0,0,0,0
2017-12-16/Brighton-Burnley,211,24238,Dale Stephens,20,83.9,34.5,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Brighton-Burnley,211,86441,Lewis Dunk,22,90.3,55.9,52.8,29.2,2,0,1,0,0,1,0,0,1,0,0
2017-12-16/Brighton-Burnley,184,41868,Johann Berg Gudmundsson,25,79.5,43.9,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Brighton-Burnley,184,41868,Johann Berg Gudmundsson,25,77.9,58.1,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Brighton-Burnley,211,21427,Glenn Murray,33,91.5,70.2,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Brighton-Burnley,211,21427,Glenn Murray,35,88.5,50.0,50.9,56.9,1,1,0,0,0,0,0,1,0,0,0
2017-12-16/Brighton-Burnley,211,32720,Gaëtan Bong,43,72.5,56.5,31.4,1.4,1,0,0,0,0,1,0,0,0,0,0
2017-12-16/Brighton-Burnley,184,73380,Chris Wood,47,85.1,53.4,48.1,3.8,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Brighton-Burnley,211,86794,Anthony Knockaert,51,93.9,31.2,67.4,11.1,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Brighton-Burnley,184,41868,Johann Berg Gudmundsson,52,84.8,64.7,,,1,0,0,0,1,0,0,0,0,1,0
2017-12-16/Brighton-Burnley,184,131464,James Tarkowski,53,92.0,47.2,53.9,11.1,2,0,1,0,0,1,0,0,1,0,0
2017-12-16/Brighton-Burnley,184,21686,Scott Arfield,60,89.5,42.7,48.7,4.4,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Brighton-Burnley,184,21686,Scott Arfield,60,89.3,45.2,49.8,16.5,1,1,0,1,0,0,0,0,1,0,0
2017-12-16/Brighton-Burnley,184,73380,Chris Wood,72,87.2,37.5,50.8,10.1,1,1,0,1,0,0,0,0,1,0,0
2017-12-16/Brighton-Burnley,184,18181,Phil Bardsley,74,69.4,35.9,53.6,20.9,1,0,0,0,0,1,0,0,1,0,0
2017-12-16/Brighton-Burnley,211,77429,Davy Pröpper,88,73.2,57.6,60.0,5.6,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Brighton-Burnley,184,13938,Sam Vokes,90,88.6,44.5,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Brighton-Burnley,211,122926,Solly March,90,74.5,34.7,58.2,66.7,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Brighton-Burnley,211,122926,Solly March,92,75.2,36.7,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Arsenal-Newcastle,13,73078,Alexandre Lacazette,2,74.9,51.3,49.8,1.9,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Arsenal-Newcastle,23,105171,Jamaal Lascelles,4,88.6,31.2,45.6,2.5,2,0,0,0,0,1,0,0,1,0,0
2017-12-16/Arsenal-Newcastle,23,126958,DeAndre Yedlin,5,76.5,31.8,44.5,88.9,1,0,1,0,0,1,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,73078,Alexandre Lacazette,7,86.7,69.3,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Arsenal-Newcastle,13,125211,Héctor Bellerín,7,86.9,45.7,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Arsenal-Newcastle,13,25244,Alexis Sánchez,11,85.0,48.0,49.4,69.4,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,255169,Ainsley Maitland-Niles,12,76.8,37.3,43.7,5.6,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,25244,Alexis Sánchez,22,86.0,58.7,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Arsenal-Newcastle,13,13756,Mesut Özil,22,85.5,60.6,48.6,27.2,1,0,0,1,0,0,0,0,1,0,1
2017-12-16/Arsenal-Newcastle,13,125211,Héctor Bellerín,26,91.8,33.9,46.6,80.6,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,89401,Granit Xhaka,30,73.5,57.3,41.5,5.6,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,13756,Mesut Özil,37,97.7,33.7,50.7,0.6,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Arsenal-Newcastle,13,136824,Alex Iwobi,39,85.6,31.2,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Arsenal-Newcastle,13,25244,Alexis Sánchez,45,80.9,63.3,57.0,1.4,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,255169,Ainsley Maitland-Niles,52,79.2,77.3,60.2,8.3,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,73078,Alexandre Lacazette,53,87.2,28.8,44.5,70.8,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,23,68648,Matt Ritchie,55,75.8,61.2,49.9,56.9,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,23,141486,Jacob Murphy,55,84.2,56.1,48.2,2.5,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Arsenal-Newcastle,23,136356,Isaac Hayden,56,77.6,41.0,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Arsenal-Newcastle,13,73078,Alexandre Lacazette,58,89.6,30.1,53.1,59.7,1,1,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,136824,Alex Iwobi,60,92.5,54.2,51.4,75.0,1,0,1,0,0,1,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,25244,Alexis Sánchez,63,83.7,62.7,3.2,2.8,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,13,136824,Alex Iwobi,65,86.9,56.4,49.0,1.3,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Arsenal-Newcastle,13,42686,Jack Wilshere,74,90.6,47.4,48.6,3.8,1,1,0,1,0,0,0,0,1,0,0
2017-12-16/Arsenal-Newcastle,13,30051,Laurent Koscielny,74,92.2,48.2,59.7,6.9,2,0,1,0,0,1,0,0,0,0,0
2017-12-16/Arsenal-Newcastle,23,135366,Ayoze Pérez,78,72.8,66.2,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Arsenal-Newcastle,23,74603,Joselu,79,76.9,48.5,,,1,0,0,1,0,0,0,0,0,1,0
