,total_corner,home_corner_ma,home_tt_coner_ma,away_corner_ma,away_total_corner_ma,home_wide_pass,home_cross,away_wide_pass,away_cross
303,11.0,2.8,12.0,3.4,7.2,10.4,15.0,12.8,14.6
304,15.0,6.4,9.6,7.4,11.4,12.6,15.0,29.0,25.4
305,9.0,4.0,9.8,7.6,12.4,12.4,13.2,15.2,20.4
306,14.0,4.2,10.0,5.0,10.2,19.0,21.4,14.6,21.0
307,10.0,4.0,10.2,4.2,9.8,14.6,15.2,9.8,14.6
308,9.0,4.8,9.6,6.4,10.6,17.2,18.4,24.2,16.0
309,10.0,3.8,9.0,4.8,9.0,11.0,14.6,16.6,21.4
310,15.0,5.2,9.6,3.8,8.6,14.2,20.6,15.6,13.6
311,10.0,5.2,10.2,4.8,10.2,18.8,20.2,17.6,15.4
312,8.0,6.6,11.6,3.8,8.8,14.6,18.8,11.0,16.6
313,17.0,5.0,10.0,3.8,7.4,14.0,21.0,12.6,14.2
314,7.0,3.2,9.2,6.2,9.6,12.2,13.6,26.8,27.6
315,12.0,5.0,10.0,6.0,10.0,12.4,13.6,15.8,23.4
316,12.0,5.8,9.4,4.8,10.2,23.0,15.6,15.4,17.4
317,12.0,6.2,10.0,10.0,13.8,23.4,24.4,26.0,28.0
318,19.0,4.8,10.0,3.2,12.6,17.2,18.0,10.4,16.2
319,8.0,4.6,9.8,3.2,8.8,13.6,16.2,13.8,13.0
320,5.0,4.8,10.6,6.4,11.8,19.6,17.4,17.0,18.0
321,10.0,4.4,10.0,6.8,9.4,12.2,14.6,22.6,21.8
322,14.0,4.0,8.0,7.2,12.0,15.8,20.0,16.8,27.8
323,13.0,4.0,10.6,4.8,9.0,12.6,15.4,11.6,19.8
324,10.0,3.8,14.4,5.0,8.6,9.6,16.8,21.8,18.8
325,8.0,3.0,10.0,6.6,10.0,15.8,12.0,24.6,19.0
326,6.0,7.4,10.2,7.2,11.8,25.2,21.4,18.8,21.6
327,14.0,5.8,10.6,4.8,9.4,15.4,16.6,13.6,16.4
328,4.0,6.6,11.4,4.6,10.4,14.4,27.6,10.0,14.0
329,10.0,10.8,13.8,5.4,10.8,21.4,28.0,14.4,15.0
330,7.0,5.4,10.4,4.8,14.0,13.8,17.8,10.0,20.4
331,13.0,5.4,10.0,3.2,8.4,12.8,20.2,18.2,14.0
332,13.0,5.4,10.0,4.0,10.0,19.8,24.6,11.8,16.0
333,6.0,4.0,10.6,6.0,13.4,13.4,12.6,13.0,20.2
334,9.0,5.2,9.2,10.2,12.6,20.8,23.2,22.2,26.0
335,6.0,5.2,9.4,5.4,9.4,21.8,16.4,16.2,15.0
336,10.0,7.6,10.8,6.0,10.2,17.2,19.4,13.6,25.4
337,7.0,5.2,10.6,4.6,9.0,13.8,18.4,18.4,14.8
338,12.0,5.8,10.0,3.4,9.6,21.8,18.2,14.2,12.4
339,7.0,5.6,11.2,9.4,11.0,14.2,20.0,22.2,24.2
340,8.0,5.8,10.6,4.2,8.2,19.8,22.2,18.8,13.8
341,9.0,7.6,11.2,5.0,9.4,18.6,20.0,21.2,21.8
342,10.0,5.0,8.4,4.8,9.6,15.8,14.0,12.0,19.6
343,7.0,4.8,11.4,4.8,9.2,10.8,15.8,19.2,15.8
344,11.0,5.4,10.0,5.4,11.4,20.8,22.2,13.6,20.8
345,15.0,5.2,8.4,5.4,10.4,21.0,16.0,13.2,18.0
346,10.0,7.8,9.4,5.4,11.2,21.0,21.4,13.6,21.0
347,8.0,3.4,7.2,4.8,11.0,16.6,24.0,9.0,16.4
348,12.0,5.0,10.2,5.6,10.6,13.0,22.2,20.4,16.0
349,5.0,4.2,10.0,4.2,10.2,10.2,14.8,11.8,16.4
350,9.0,3.0,7.8,5.0,10.6,15.2,12.4,13.6,16.4
351,12.0,4.2,9.0,6.2,10.2,15.0,14.4,16.6,17.0
352,8.0,5.4,8.6,3.0,9.4,19.0,17.0,11.0,11.8
353,9.0,4.2,11.4,4.8,8.6,10.8,22.8,15.8,14.2
354,13.0,3.6,7.6,4.2,10.6,16.4,15.4,8.6,14.6
355,7.0,3.6,9.8,7.0,11.4,11.0,16.4,24.2,17.8
356,7.0,4.4,11.0,6.0,12.0,11.6,22.6,13.6,19.2
357,3.0,7.4,9.6,3.8,9.6,22.0,21.8,11.4,18.6
358,9.0,4.8,8.8,5.8,8.8,14.0,13.0,17.8,17.4
359,9.0,5.6,9.6,5.4,10.4,21.8,17.0,14.0,15.2
360,9.0,3.4,8.2,5.4,10.8,10.0,15.6,15.0,18.2
361,12.0,5.6,10.2,3.2,7.6,19.4,19.6,14.0,12.0
362,13.0,6.4,11.8,5.8,11.2,16.2,23.0,14.8,14.6
363,7.0,3.8,7.8,3.0,9.6,16.6,26.8,12.4,13.6
364,10.0,2.8,9.0,3.0,8.4,12.4,10.0,8.6,13.8
365,8.0,6.6,9.0,4.2,8.6,15.8,19.0,11.6,21.6
366,14.0,3.2,7.8,4.2,7.6,11.4,16.8,15.4,26.4
367,7.0,4.0,10.2,5.0,9.0,14.6,17.2,18.6,14.8
368,9.0,4.8,10.8,7.4,12.8,10.8,16.2,18.0,24.0
369,13.0,6.6,11.0,3.2,8.4,16.8,21.6,11.8,16.8
370,3.0,6.8,10.8,5.4,7.8,23.2,18.2,25.2,20.0
371,15.0,3.2,8.6,5.2,9.6,12.8,15.0,14.2,13.4
372,11.0,4.6,9.8,5.8,9.8,12.4,15.0,14.4,17.6
373,9.0,3.4,10.0,4.2,8.2,13.4,11.2,18.4,17.6
374,10.0,4.4,9.8,6.4,10.2,12.0,13.6,20.8,14.6
375,10.0,5.2,8.8,4.4,9.2,19.8,14.8,12.6,18.2
376,15.0,6.8,10.4,6.2,9.0,14.0,19.0,15.2,20.2
377,11.0,2.8,7.6,6.0,11.2,9.4,12.4,18.8,17.4
378,7.0,4.2,8.8,3.8,9.0,13.2,21.6,17.2,20.2
379,8.0,3.6,8.6,4.8,9.8,12.2,16.6,15.0,21.6
380,13.0,4.4,6.4,4.0,10.6,21.8,17.8,15.0,14.6
381,8.0,7.2,12.2,4.6,10.0,19.0,23.6,15.2,18.4
382,11.0,3.2,8.2,4.0,10.0,12.2,18.0,9.0,13.0
383,11.0,4.2,9.2,3.8,9.0,16.8,18.0,13.0,11.2
384,10.0,4.4,9.6,3.6,8.4,9.8,14.2,10.0,13.4
385,6.0,4.2,7.8,6.8,10.4,19.4,22.0,24.2,26.4
386,7.0,4.8,9.4,5.0,7.2,14.6,20.2,19.2,18.8
387,23.0,4.6,10.0,3.2,9.0,13.0,18.0,15.2,17.2
388,10.0,6.4,8.8,3.2,9.0,24.0,16.6,11.8,16.2
389,14.0,3.6,10.0,6.4,9.6,13.2,11.0,22.8,17.0
390,6.0,5.2,10.8,3.6,10.6,20.4,15.8,10.8,12.4
391,12.0,4.8,10.4,4.4,9.8,13.6,17.4,18.2,19.0
392,11.0,3.4,11.2,4.2,8.6,9.8,13.8,17.6,18.0
393,10.0,5.2,9.4,8.8,11.6,18.0,23.6,14.6,25.4
394,9.0,4.4,9.4,6.8,11.0,14.4,19.2,20.2,17.4
395,12.0,4.6,10.4,5.6,9.4,23.0,18.4,24.0,22.2
396,12.0,3.6,9.0,4.6,7.6,10.2,14.4,19.6,22.2
397,12.0,6.4,8.4,4.2,9.4,23.8,16.8,17.8,16.4
398,10.0,5.8,12.6,5.4,10.2,12.4,18.8,13.2,17.0
399,12.0,3.6,9.8,5.2,10.4,9.4,11.4,20.0,21.8
400,11.0,4.6,12.2,4.2,11.6,15.0,18.8,11.6,17.0
401,10.0,4.6,7.2,4.6,10.0,18.0,17.2,19.2,19.2
402,7.0,4.6,9.4,4.2,11.2,13.0,19.4,12.2,11.0
403,11.0,5.4,9.6,5.0,8.8,22.0,21.0,15.0,21.8
404,7.0,4.2,9.0,6.2,13.0,11.0,14.8,10.0,18.0
405,7.0,5.8,9.8,6.2,8.4,16.6,15.4,20.2,14.4
406,12.0,4.4,8.2,5.0,9.8,19.4,21.6,22.8,17.6
407,13.0,5.4,11.0,8.8,11.8,13.8,20.6,14.6,26.2
408,12.0,4.0,10.8,5.2,12.4,11.4,11.2,14.2,19.2
409,14.0,4.6,11.4,4.2,9.2,15.4,21.4,12.4,19.6
410,14.0,4.0,10.2,4.0,7.2,17.0,12.0,16.8,16.8
411,11.0,5.8,10.6,3.2,10.4,14.8,18.0,7.0,9.0
412,17.0,5.2,10.4,4.4,9.6,21.8,26.6,11.6,16.8
413,11.0,5.0,11.0,5.4,10.8,13.4,20.2,21.0,20.8
414,15.0,5.8,8.4,6.4,13.0,20.2,14.4,11.4,20.2
415,9.0,7.2,12.0,5.4,10.8,23.2,31.0,11.2,14.6
416,9.0,4.2,11.6,4.2,10.2,17.0,12.2,13.2,19.0
417,11.0,4.4,9.2,4.4,9.4,21.2,21.4,11.8,15.4
418,10.0,5.8,11.6,4.8,8.8,15.8,22.4,18.4,19.6
419,11.0,5.4,9.4,3.8,10.8,13.4,20.2,10.8,11.0
420,8.0,5.8,10.4,5.4,10.2,16.6,22.6,14.0,17.2
421,11.0,9.2,12.2,4.6,11.6,15.2,29.0,10.6,18.2
422,9.0,5.6,13.4,5.4,9.4,13.0,19.2,14.4,13.0
423,9.0,5.4,10.0,6.4,11.0,14.4,18.0,20.8,23.6
424,7.0,5.0,9.4,7.0,11.6,15.4,17.0,21.2,28.2
425,11.0,4.2,9.8,3.4,10.6,11.4,16.2,15.0,10.4
426,12.0,5.4,10.6,8.2,10.8,11.8,17.2,25.4,19.0
427,16.0,4.8,10.4,5.4,12.6,10.2,16.4,14.0,19.8
428,24.0,5.6,9.8,4.6,9.6,13.6,13.0,21.6,24.0
429,8.0,3.4,10.0,5.4,11.8,10.0,8.8,16.6,20.8
430,8.0,5.0,13.0,9.0,12.0,10.4,15.2,13.2,28.2
431,9.0,5.4,10.4,5.0,9.2,19.2,24.4,15.6,21.4
432,8.0,4.2,12.2,5.4,11.4,10.0,17.6,13.4,19.6
433,9.0,4.8,11.4,5.8,10.8,11.2,12.8,12.4,19.6
434,8.0,5.4,14.2,4.8,9.4,11.8,17.4,13.2,16.4
435,10.0,7.4,11.2,4.0,10.0,21.4,14.8,14.8,18.0
436,8.0,8.8,11.4,5.0,9.6,17.0,30.6,14.0,15.6
437,16.0,7.0,11.4,5.6,10.0,22.8,29.4,15.6,25.2
438,5.0,5.4,10.8,6.2,12.6,20.0,19.8,11.6,11.4
439,10.0,5.2,10.2,4.8,12.6,22.0,20.8,10.2,15.6
440,11.0,5.4,10.8,4.4,9.6,12.8,19.4,14.8,13.0
441,9.0,4.6,9.4,7.0,10.6,13.0,22.0,15.6,20.6
442,16.0,6.2,12.8,3.6,11.6,18.2,25.8,11.0,18.6
443,15.0,6.8,12.0,7.2,10.0,14.8,26.8,16.2,25.8
444,7.0,4.4,9.2,5.2,9.6,12.2,15.8,18.4,19.0
445,7.0,5.4,9.8,5.0,9.2,11.6,19.4,16.6,25.0
446,13.0,2.6,10.0,6.6,14.8,8.4,13.4,16.8,25.0
447,4.0,4.4,10.8,6.4,10.6,10.8,8.6,15.8,23.2
448,9.0,7.0,11.0,6.8,12.2,17.4,20.6,16.2,25.6
449,8.0,5.2,12.8,4.6,11.2,11.8,21.8,12.4,15.8
450,17.0,3.2,9.8,6.0,10.8,15.0,17.6,27.4,25.4
